"Indicator","Phase","State","Value","Year","Month"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Maryland",30.4,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Massachusetts",27.9,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Michigan",26.4,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Minnesota",26.5,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Mississippi",39.2,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Missouri",39.4,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Montana",34,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Nebraska",26.3,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Nevada",37,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Hampshire",26.8,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Jersey",29.7,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Mexico",34.2,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New York",37.4,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","North Carolina",28.6,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","North Dakota",27.4,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Ohio",28.2,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Oklahoma",41.6,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Oregon",36.6,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Pennsylvania",31.5,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Rhode Island",27,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","South Carolina",27.1,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","South Dakota",23.7,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Tennessee",36.5,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Texas",32.5,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Utah",35.6,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Vermont",24.3,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Virginia",31.8,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Washington",36.2,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","West Virginia",30.7,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Wisconsin",28.3,"2021","Sep"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Wyoming",27.2,"2021","Sep"
"Symptoms of Depressive Disorder","3","Alabama",24.4,"2021","Oct"
"Symptoms of Depressive Disorder","3","Alaska",28,"2021","Oct"
"Symptoms of Depressive Disorder","3","Arizona",23.2,"2021","Oct"
"Symptoms of Depressive Disorder","3","Arkansas",26.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","California",20.5,"2021","Oct"
"Symptoms of Depressive Disorder","3","Colorado",23,"2021","Oct"
"Symptoms of Depressive Disorder","3","Connecticut",19.2,"2021","Oct"
"Symptoms of Depressive Disorder","3","Delaware",20,"2021","Oct"
"Symptoms of Depressive Disorder","3","District of Columbia",26.2,"2021","Oct"
"Symptoms of Depressive Disorder","3","Florida",20.9,"2021","Oct"
"Symptoms of Depressive Disorder","3","Georgia",24.6,"2021","Oct"
"Symptoms of Depressive Disorder","3","Hawaii",23.2,"2021","Oct"
"Symptoms of Depressive Disorder","3","Idaho",21.6,"2021","Oct"
"Symptoms of Depressive Disorder","3","Illinois",20.5,"2021","Oct"
"Symptoms of Depressive Disorder","3","Indiana",20.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Iowa",19.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Kansas",18.9,"2021","Oct"
"Symptoms of Depressive Disorder","3","Kentucky",28.6,"2021","Oct"
"Symptoms of Depressive Disorder","3","Louisiana",24.3,"2021","Oct"
"Symptoms of Depressive Disorder","3","Maine",18.1,"2021","Oct"
"Symptoms of Depressive Disorder","3","Maryland",20.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Massachusetts",22,"2021","Oct"
"Symptoms of Depressive Disorder","3","Michigan",20.2,"2021","Oct"
"Symptoms of Depressive Disorder","3","Minnesota",14.5,"2021","Oct"
"Symptoms of Depressive Disorder","3","Mississippi",22.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Missouri",23.9,"2021","Oct"
"Symptoms of Depressive Disorder","3","Montana",20.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Nebraska",23.4,"2021","Oct"
"Symptoms of Depressive Disorder","3","Nevada",22.1,"2021","Oct"
"Symptoms of Depressive Disorder","3","New Hampshire",14.8,"2021","Oct"
"Symptoms of Depressive Disorder","3","New Jersey",20.6,"2021","Oct"
"Symptoms of Depressive Disorder","3","New Mexico",22.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","New York",20.6,"2021","Oct"
"Symptoms of Depressive Disorder","3","North Carolina",27.4,"2021","Oct"
"Symptoms of Depressive Disorder","3","North Dakota",23.8,"2021","Oct"
"Symptoms of Depressive Disorder","3","Ohio",17.2,"2021","Oct"
"Symptoms of Depressive Disorder","3","Oklahoma",27.3,"2021","Oct"
"Symptoms of Depressive Disorder","3","Oregon",22.5,"2021","Oct"
"Symptoms of Depressive Disorder","3","Pennsylvania",24,"2021","Oct"
"Symptoms of Depressive Disorder","3","Rhode Island",22.6,"2021","Oct"
"Symptoms of Depressive Disorder","3","South Carolina",21,"2021","Oct"
"Symptoms of Depressive Disorder","3","South Dakota",14.8,"2021","Oct"
"Symptoms of Depressive Disorder","3","Tennessee",24.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Texas",24.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Utah",22.6,"2021","Oct"
"Symptoms of Depressive Disorder","3","Vermont",27,"2021","Oct"
"Symptoms of Depressive Disorder","3","Virginia",18.3,"2021","Oct"
"Symptoms of Depressive Disorder","3","Washington",23.1,"2021","Oct"
"Symptoms of Depressive Disorder","3","West Virginia",22.7,"2021","Oct"
"Symptoms of Depressive Disorder","3","Wisconsin",14.1,"2021","Oct"
"Symptoms of Depressive Disorder","3","Wyoming",19.7,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Alabama",28.7,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Alaska",32.9,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Arizona",29.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Arkansas",33.8,"2021","Oct"
"Symptoms of Anxiety Disorder","3","California",28.7,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Colorado",29.1,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Connecticut",25.1,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Delaware",21.8,"2021","Oct"
"Symptoms of Anxiety Disorder","3","District of Columbia",31.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Florida",25.7,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Georgia",31,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Hawaii",26.5,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Idaho",29.1,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Illinois",26.7,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Indiana",23.3,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Iowa",23,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Kansas",26.8,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Kentucky",30.9,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Louisiana",28.8,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Maine",24.4,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Maryland",23.5,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Massachusetts",28.2,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Michigan",27.3,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Minnesota",22.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Mississippi",30.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Missouri",29.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Montana",23.3,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Nebraska",28.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Nevada",25.8,"2021","Oct"
"Symptoms of Anxiety Disorder","3","New Hampshire",20,"2021","Oct"
"Symptoms of Anxiety Disorder","3","New Jersey",22.2,"2021","Oct"
"Symptoms of Anxiety Disorder","3","New Mexico",26.3,"2021","Oct"
"Symptoms of Anxiety Disorder","3","New York",26.5,"2021","Oct"
"Symptoms of Anxiety Disorder","3","North Carolina",27.3,"2021","Oct"
"Symptoms of Anxiety Disorder","3","North Dakota",29,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Ohio",23,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Oklahoma",31.9,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Oregon",30.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Pennsylvania",31,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Rhode Island",34.4,"2021","Oct"
"Symptoms of Anxiety Disorder","3","South Carolina",26.5,"2021","Oct"
"Symptoms of Anxiety Disorder","3","South Dakota",21.7,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Tennessee",29,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Texas",28.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Utah",26.5,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Vermont",27.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Virginia",23.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Washington",28.2,"2021","Oct"
"Symptoms of Anxiety Disorder","3","West Virginia",27.6,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Wisconsin",21,"2021","Oct"
"Symptoms of Anxiety Disorder","3","Wyoming",27,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Alabama",34.1,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Alaska",38.5,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Arizona",33,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Arkansas",37.8,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","California",32,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Colorado",32,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Connecticut",28.7,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Delaware",26.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","District of Columbia",35.9,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Florida",31.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Georgia",34.3,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Hawaii",32.5,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Idaho",33,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Illinois",31.3,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Indiana",28.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Iowa",27.2,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Kansas",29.2,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Kentucky",36.2,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Louisiana",32.5,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Maine",28.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Maryland",28.4,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Massachusetts",31.4,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Michigan",29.8,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Minnesota",24.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Mississippi",35.9,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Missouri",33.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Montana",28.2,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Nebraska",33.5,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Nevada",30,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Hampshire",23.5,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Jersey",28.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Mexico",31.9,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New York",29.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","North Carolina",35,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","North Dakota",33.3,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Ohio",26.4,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Oklahoma",37.7,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Oregon",34.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Pennsylvania",33.8,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Rhode Island",37.3,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","South Carolina",30.2,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","South Dakota",24.7,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Tennessee",34.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Texas",34.2,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Utah",31.1,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Vermont",33.6,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Virginia",27.9,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Washington",33.5,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","West Virginia",31.7,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Wisconsin",22.9,"2021","Oct"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Wyoming",29.5,"2021","Oct"
"Symptoms of Depressive Disorder","3","Alabama",26.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Alaska",22.5,"2021","Dec"
"Symptoms of Depressive Disorder","3","Arizona",22.4,"2021","Dec"
"Symptoms of Depressive Disorder","3","Arkansas",25.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","California",21.5,"2021","Dec"
"Symptoms of Depressive Disorder","3","Colorado",22.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Connecticut",21.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","Delaware",16.3,"2021","Dec"
"Symptoms of Depressive Disorder","3","District of Columbia",20.7,"2021","Dec"
"Symptoms of Depressive Disorder","3","Florida",19.3,"2021","Dec"
"Symptoms of Depressive Disorder","3","Georgia",22.4,"2021","Dec"
"Symptoms of Depressive Disorder","3","Hawaii",22.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","Idaho",22.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","Illinois",18,"2021","Dec"
"Symptoms of Depressive Disorder","3","Indiana",21.7,"2021","Dec"
"Symptoms of Depressive Disorder","3","Iowa",20.7,"2021","Dec"
"Symptoms of Depressive Disorder","3","Kansas",21.6,"2021","Dec"
"Symptoms of Depressive Disorder","3","Kentucky",28.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Louisiana",25.5,"2021","Dec"
"Symptoms of Depressive Disorder","3","Maine",20,"2021","Dec"
"Symptoms of Depressive Disorder","3","Maryland",19.5,"2021","Dec"
"Symptoms of Depressive Disorder","3","Massachusetts",20.4,"2021","Dec"
"Symptoms of Depressive Disorder","3","Michigan",22.4,"2021","Dec"
"Symptoms of Depressive Disorder","3","Minnesota",17.9,"2021","Dec"
"Symptoms of Depressive Disorder","3","Mississippi",23.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Missouri",22.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","Montana",17.8,"2021","Dec"
"Symptoms of Depressive Disorder","3","Nebraska",17.7,"2021","Dec"
"Symptoms of Depressive Disorder","3","Nevada",27.4,"2021","Dec"
"Symptoms of Depressive Disorder","3","New Hampshire",21.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","New Jersey",18.7,"2021","Dec"
"Symptoms of Depressive Disorder","3","New Mexico",26.9,"2021","Dec"
"Symptoms of Depressive Disorder","3","New York",23.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","North Carolina",21.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","North Dakota",21.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","Ohio",20.3,"2021","Dec"
"Symptoms of Depressive Disorder","3","Oklahoma",28.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Oregon",25.9,"2021","Dec"
"Symptoms of Depressive Disorder","3","Pennsylvania",19.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Rhode Island",19.3,"2021","Dec"
"Symptoms of Depressive Disorder","3","South Carolina",18.1,"2021","Dec"
"Symptoms of Depressive Disorder","3","South Dakota",17.3,"2021","Dec"
"Symptoms of Depressive Disorder","3","Tennessee",20.3,"2021","Dec"
"Symptoms of Depressive Disorder","3","Texas",21.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Utah",22.6,"2021","Dec"
"Symptoms of Depressive Disorder","3","Vermont",18.8,"2021","Dec"
"Symptoms of Depressive Disorder","3","Virginia",22.4,"2021","Dec"
"Symptoms of Depressive Disorder","3","Washington",23.7,"2021","Dec"
"Symptoms of Depressive Disorder","3","West Virginia",25.2,"2021","Dec"
"Symptoms of Depressive Disorder","3","Wisconsin",18,"2021","Dec"
"Symptoms of Depressive Disorder","3","Wyoming",24.2,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Alabama",27,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Alaska",34.1,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Arizona",26.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Arkansas",29.7,"2021","Dec"
"Symptoms of Anxiety Disorder","3","California",25.2,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Colorado",27.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Connecticut",25.7,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Delaware",23.4,"2021","Dec"
"Symptoms of Anxiety Disorder","3","District of Columbia",27.2,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Florida",24.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Georgia",25.5,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Hawaii",27.2,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Idaho",28.7,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Illinois",23.8,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Indiana",24.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Iowa",26.4,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Kansas",24.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Kentucky",33.5,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Louisiana",36.7,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Maine",25.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Maryland",23.6,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Massachusetts",25.4,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Michigan",27.5,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Minnesota",23.2,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Mississippi",26.3,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Missouri",29,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Montana",28.4,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Nebraska",27.2,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Nevada",30.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","New Hampshire",27,"2021","Dec"
"Symptoms of Anxiety Disorder","3","New Jersey",22.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","New Mexico",28.5,"2021","Dec"
"Symptoms of Anxiety Disorder","3","New York",29.1,"2021","Dec"
"Symptoms of Anxiety Disorder","3","North Carolina",25,"2021","Dec"
"Symptoms of Anxiety Disorder","3","North Dakota",29.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Ohio",26.5,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Oklahoma",34.2,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Oregon",31.1,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Pennsylvania",26,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Rhode Island",25.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","South Carolina",23,"2021","Dec"
"Symptoms of Anxiety Disorder","3","South Dakota",20.6,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Tennessee",26.8,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Texas",24.9,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Utah",28,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Vermont",28.1,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Virginia",28.7,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Washington",30.1,"2021","Dec"
"Symptoms of Anxiety Disorder","3","West Virginia",36.5,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Wisconsin",23.1,"2021","Dec"
"Symptoms of Anxiety Disorder","3","Wyoming",29,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Alabama",32.1,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Alaska",37.8,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Arizona",31.2,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Arkansas",34.4,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","California",30.4,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Colorado",33.2,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Connecticut",29.3,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Delaware",26.3,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","District of Columbia",31.1,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Florida",28.8,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Georgia",29.9,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Hawaii",31.9,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Idaho",32.2,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Illinois",27.6,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Indiana",30.2,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Iowa",29.8,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Kansas",31.1,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Kentucky",36.7,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Louisiana",38.7,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Maine",30.9,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Maryland",28.2,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Massachusetts",30.2,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Michigan",31.4,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Minnesota",27.9,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Mississippi",31.7,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Missouri",32.8,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Montana",30.1,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Nebraska",30.5,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Nevada",36.3,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Hampshire",30.7,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Jersey",27.8,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New Mexico",34.6,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","New York",33.3,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","North Carolina",30,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","North Dakota",33.4,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Ohio",30.1,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Oklahoma",38.3,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Oregon",35.6,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Pennsylvania",28.9,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Rhode Island",27.8,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","South Carolina",25.1,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","South Dakota",24,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Tennessee",31.4,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Texas",29.5,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Utah",32.5,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Vermont",32.2,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Virginia",31.5,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Washington",33.6,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","West Virginia",39.9,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Wisconsin",26.3,"2021","Dec"
"Symptoms of Anxiety Disorder or Depressive Disorder","3","Wyoming",32.3,"2021","Dec"
"Symptoms of Depressive Disorder","3","Alabama",25.9,"2022","Jan"
"Symptoms of Depressive Disorder","3","Alaska",21.6,"2022","Jan"
"Symptoms of Depressive Disorder","3","Arizona",22.6,"2022","Jan"
"Symptoms of Depressive Disorder","3","Arkansas",31.4,"2022","Jan"
"Symptoms of Depressive Disorder","3","California",22.3,"2022","Jan"
"Symptoms of Depressive Disorder","3","Colorado",21.1,"2022","Jan"
"Symptoms of Depressive Disorder","3","Connecticut",22.3,"2022","Jan"
"Symptoms of Depressive Disorder","3","Delaware",21.5,"2022","Jan"
"Symptoms of Depressive Disorder","3","District of Columbia",20.9,"2022","Jan"
